"date","cultivar","location","season","cutting_height","replication","tea_buds_cm","leaf_number","avg_inter_node","open_plane","buds_weight_100","sample_label"
"43929","台茶12號","6區","第二水",56,"20",8.5,3,18.6666666666667,0,93.7,"茶菁2"
"43929","台茶12號","6區","第二水",56,"21",6.9,3,18.6666666666667,0,94.5,"茶菁3"
"43929","台茶12號","6區","第二水",56,"22",12,4,14,0,94.5,"茶菁3"
"43929","台茶12號","6區","第二水",56,"23",14.7,4,14,0,94.5,"茶菁3"
"43929","台茶12號","6區","第二水",56,"24",5.4,3,18.6666666666667,0,94.5,"茶菁3"
"43929","台茶12號","6區","第二水",56,"25",6.1,3,18.6666666666667,0,94.5,"茶菁3"
"43929","台茶12號","6區","第二水",56,"26",6,4,14,1,94.5,"茶菁3"
"43929","台茶12號","6區","第二水",56,"27",9,3,18.6666666666667,0,94.5,"茶菁3"
"43929","台茶12號","6區","第二水",56,"28",13.1,4,14,0,94.5,"茶菁3"
"43929","台茶12號","6區","第二水",56,"29",5.6,3,18.6666666666667,1,94.5,"茶菁3"
"43929","台茶12號","6區","第二水",56,"30",5.3,2,28,0,94.5,"茶菁3"
"43940","四季春","5區","第二水",58,"1",8.6,3,19.3333333333333,0,98.6,"茶菁1"
"43940","四季春","5區","第二水",58,"2",10.2,4,14.5,0,98.6,"茶菁1"
"43940","四季春","5區","第二水",58,"3",6.9,3,19.3333333333333,0,98.6,"茶菁1"
"43940","四季春","5區","第二水",58,"4",5.7,2,29,0,98.6,"茶菁1"
"43940","四季春","5區","第二水",58,"5",1.5,2,29,1,98.6,"茶菁1"
"43940","四季春","5區","第二水",58,"6",4.2,2,29,0,98.6,"茶菁1"
"43940","四季春","5區","第二水",58,"7",6.5,4,14.5,0,98.6,"茶菁1"
"43940","四季春","5區","第二水",58,"8",2.6,2,29,0,98.6,"茶菁1"
"43940","四季春","5區","第二水",58,"9",14.5,6,9.66666666666667,0,98.6,"茶菁1"
"43940","四季春","5區","第二水",58,"10",3.9,2,29,0,98.6,"茶菁1"
"43940","四季春","5區","第二水",58,"11",4.5,3,19.3333333333333,0,106.9,"茶菁2"
"43940","四季春","5區","第二水",58,"12",10,4,14.5,0,106.9,"茶菁2"
"43940","四季春","5區","第二水",58,"13",3.2,2,29,0,106.9,"茶菁2"
"43940","四季春","5區","第二水",58,"14",7.5,4,14.5,0,106.9,"茶菁2"
"43940","四季春","5區","第二水",58,"15",9.8,5,11.6,0,106.9,"茶菁2"
"43940","四季春","5區","第二水",58,"16",3.6,3,19.3333333333333,1,106.9,"茶菁2"
"43940","四季春","5區","第二水",58,"17",4.5,3,19.3333333333333,0,106.9,"茶菁2"
"43940","四季春","5區","第二水",58,"18",12,5,11.6,0,106.9,"茶菁2"
"43940","四季春","5區","第二水",58,"19",7.4,4,14.5,0,106.9,"茶菁2"
"43940","四季春","5區","第二水",58,"20",7.9,3,19.3333333333333,0,106.9,"茶菁2"
"43940","四季春","5區","第二水",58,"21",10.5,5,11.6,0,112.5,"茶菁3"
"43940","四季春","5區","第二水",58,"22",9.5,4,14.5,0,112.5,"茶菁3"
"43940","四季春","5區","第二水",58,"23",10.1,4,14.5,0,112.5,"茶菁3"
"43940","四季春","5區","第二水",58,"24",11.7,5,11.6,0,112.5,"茶菁3"
"43940","四季春","5區","第二水",58,"25",4.3,3,19.3333333333333,0,112.5,"茶菁3"
"43940","四季春","5區","第二水",58,"26",3,2,29,0,112.5,"茶菁3"
"43940","四季春","5區","第二水",58,"27",4.3,3,19.3333333333333,0,112.5,"茶菁3"
"43940","四季春","5區","第二水",58,"28",7.5,3,19.3333333333333,0,112.5,"茶菁3"
"43940","四季春","5區","第二水",58,"29",10.3,5,11.6,0,112.5,"茶菁3"
"43940","四季春","5區","第二水",58,"30",5.6,3,19.3333333333333,0,112.5,"茶菁3"
"43943","青心大冇","10-1","第二水",56,"1",8.6,4,14,0,93.4,"茶菁1"
"43943","青心大冇","10-1","第二水",56,"2",9,3,18.6666666666667,0,93.4,"茶菁1"
"43943","青心大冇","10-1","第二水",56,"3",13.7,5,11.2,0,93.4,"茶菁1"
"43943","青心大冇","10-1","第二水",56,"4",12.5,6,9.33333333333333,0,93.4,"茶菁1"
"43943","青心大冇","10-1","第二水",56,"5",15.7,5,11.2,0,93.4,"茶菁1"
"43943","青心大冇","10-1","第二水",56,"6",4.8,3,18.6666666666667,0,93.4,"茶菁1"
"43943","青心大冇","10-1","第二水",56,"7",4.2,3,18.6666666666667,0,93.4,"茶菁1"
"43943","青心大冇","10-1","第二水",56,"8",10,4,14,1,93.4,"茶菁1"
"43943","青心大冇","10-1","第二水",56,"9",8.4,4,14,1,93.4,"茶菁1"
"43943","青心大冇","10-1","第二水",56,"10",9,5,11.2,0,93.4,"茶菁1"
"43943","青心大冇","10-1","第二水",56,"11",6.7,4,14,1,105.9,"茶菁2"
"43943","青心大冇","10-1","第二水",56,"12",12.5,4,14,0,105.9,"茶菁2"
"43943","青心大冇","10-1","第二水",56,"13",13.8,4,14,0,105.9,"茶菁2"
"43943","青心大冇","10-1","第二水",56,"14",9.8,4,14,1,105.9,"茶菁2"
"43943","青心大冇","10-1","第二水",56,"15",12.8,5,11.2,0,105.9,"茶菁2"
"43943","青心大冇","10-1","第二水",56,"16",10.5,4,14,1,105.9,"茶菁2"
"43943","青心大冇","10-1","第二水",56,"17",9.9,3,18.6666666666667,0,105.9,"茶菁2"
"43943","青心大冇","10-1","第二水",56,"18",10.2,4,14,0,105.9,"茶菁2"
"43943","青心大冇","10-1","第二水",56,"19",9.1,3,18.6666666666667,0,105.9,"茶菁2"
"43943","青心大冇","10-1","第二水",56,"20",11,4,14,1,105.9,"茶菁2"
"43943","青心大冇","10-1","第二水",56,"21",14.4,5,11.2,0,102.1,"茶菁3"
"43943","青心大冇","10-1","第二水",56,"22",9.7,4,14,0,102.1,"茶菁3"
"43943","青心大冇","10-1","第二水",56,"23",12.4,4,14,0,102.1,"茶菁3"
"43943","青心大冇","10-1","第二水",56,"24",12.8,4,14,0,102.1,"茶菁3"
"43943","青心大冇","10-1","第二水",56,"25",5.8,3,18.6666666666667,0,102.1,"茶菁3"
"43943","青心大冇","10-1","第二水",56,"26",8.1,3,18.6666666666667,0,102.1,"茶菁3"
"43943","青心大冇","10-1","第二水",56,"27",12.7,4,14,0,102.1,"茶菁3"
"43943","青心大冇","10-1","第二水",56,"28",8.3,3,18.6666666666667,0,102.1,"茶菁3"
"43943","青心大冇","10-1","第二水",56,"29",6.5,3,18.6666666666667,0,102.1,"茶菁3"
"43943","青心大冇","10-1","第二水",56,"30",16.2,5,11.2,0,102.1,"茶菁3"
"43958","台茶8號","11-2","第二水",65,"1",8,5,13,1,147,"茶菁1"
"43958","台茶8號","11-2","第二水",65,"2",14.1,6,10.8333333333333,0,147,"茶菁1"
"43958","台茶8號","11-2","第二水",65,"3",11.7,5,13,1,147,"茶菁1"
"43958","台茶8號","11-2","第二水",65,"4",7.9,5,13,1,147,"茶菁1"
"43958","台茶8號","11-2","第二水",65,"5",8.3,4,16.25,1,147,"茶菁1"
"43958","台茶8號","11-2","第二水",65,"6",11.2,4,16.25,0,147,"茶菁1"
"43958","台茶8號","11-2","第二水",65,"7",3.5,3,21.6666666666667,1,147,"茶菁1"
"43958","台茶8號","11-2","第二水",65,"8",11.5,5,13,0,147,"茶菁1"
"43958","台茶8號","11-2","第二水",65,"9",2.3,3,21.6666666666667,1,147,"茶菁1"
"43958","台茶8號","11-2","第二水",65,"10",12.3,4,16.25,0,147,"茶菁1"
"43958","台茶8號","11-2","第二水",65,"11",3.1,3,21.6666666666667,1,113.5,"茶菁2"
"43958","台茶8號","11-2","第二水",65,"12",5.7,4,16.25,1,113.5,"茶菁2"
"43958","台茶8號","11-2","第二水",65,"13",3.7,3,21.6666666666667,1,113.5,"茶菁2"
"43958","台茶8號","11-2","第二水",65,"14",7.5,5,13,1,113.5,"茶菁2"
"43958","台茶8號","11-2","第二水",65,"15",8.9,5,13,1,113.5,"茶菁2"
"43958","台茶8號","11-2","第二水",65,"16",8.8,4,16.25,0,113.5,"茶菁2"
"43958","台茶8號","11-2","第二水",65,"17",8.3,4,16.25,1,113.5,"茶菁2"
"43958","台茶8號","11-2","第二水",65,"18",8.5,4,16.25,0,113.5,"茶菁2"
"43958","台茶8號","11-2","第二水",65,"19",8.3,5,13,0,113.5,"茶菁2"
"43958","台茶8號","11-2","第二水",65,"20",10.2,5,13,0,113.5,"茶菁2"
"43958","台茶8號","11-2","第二水",65,"21",11.3,5,13,1,133.3,"茶菁3"
"43958","台茶8號","11-2","第二水",65,"22",6.5,4,16.25,1,133.3,"茶菁3"
"43958","台茶8號","11-2","第二水",65,"23",5.8,4,16.25,1,133.3,"茶菁3"
"43958","台茶8號","11-2","第二水",65,"24",6.3,4,16.25,1,133.3,"茶菁3"
"43958","台茶8號","11-2","第二水",65,"25",4.9,3,21.6666666666667,1,133.3,"茶菁3"
"43958","台茶8號","11-2","第二水",65,"26",7.4,4,16.25,0,133.3,"茶菁3"
"43958","台茶8號","11-2","第二水",65,"27",5.9,4,16.25,0,133.3,"茶菁3"
"43958","台茶8號","11-2","第二水",65,"28",8,5,13,1,133.3,"茶菁3"
"43958","台茶8號","11-2","第二水",65,"29",11.4,4,16.25,0,133.3,"茶菁3"
"43958","台茶8號","11-2","第二水",65,"30",6.1,3,21.6666666666667,0,133.3,"茶菁3"
"43969","台茶18號","15區","第二水",60,"1",6,3,20,0,154.3,"茶菁1"
